name,stars,num_reviews,price,cuisine
Porter House,4 of 5 bubbles,773 reviews,$$$$,American
Olio e Piu,4 of 5 bubbles,434 reviews,$$ - $$$,Italian
Brasserie Ruhlmann,4 of 5 bubbles,468 reviews,$$ - $$$,French
Georgio's Country Grill,4.5 of 5 bubbles,401 reviews,$$ - $$$,Italian
Joe's Shanghai,4 of 5 bubbles,"1,394 reviews",$$ - $$$,Chinese
Guantanamera,4.5 of 5 bubbles,432 reviews,$$ - $$$,Caribbean
Angelo's Pizza,4 of 5 bubbles,"1,356 reviews",$$ - $$$,Italian
Pazza Notte,4 of 5 bubbles,740 reviews,$$ - $$$,Italian
Smith & Wollensky,4 of 5 bubbles,"2,547 reviews",$$$$,American
Sakagura,4.5 of 5 bubbles,389 reviews,$$ - $$$,Japanese
Untitled,4 of 5 bubbles,332 reviews,$$ - $$$,American
The Dutch,4 of 5 bubbles,672 reviews,$$ - $$$,Seafood
Malibu Diner,4.5 of 5 bubbles,357 reviews,$,American
Osteria al Doge,4 of 5 bubbles,"1,008 reviews",$$ - $$$,Italian
Hakata Ippudo NY,4.5 of 5 bubbles,501 reviews,$$ - $$$,Japanese
Employees Only,4.5 of 5 bubbles,327 reviews,$$ - $$$,American
Olive Garden,4 of 5 bubbles,"3,570 reviews",$$ - $$$,Italian
Bistango Restaurant,4.5 of 5 bubbles,396 reviews,$$ - $$$,Italian
La Bonne Soupe,4 of 5 bubbles,819 reviews,$$ - $$$,French
Peacefood Cafe,4.5 of 5 bubbles,249 reviews,$$ - $$$,Cafe
Maialino,4.5 of 5 bubbles,741 reviews,$$$$,Italian
Haru,4 of 5 bubbles,574 reviews,$$ - $$$,Japanese
E&E Grill House,4 of 5 bubbles,727 reviews,$$ - $$$,American
Pret A Manger,4.5 of 5 bubbles,327 reviews,$,American
Maria Pia,4 of 5 bubbles,544 reviews,$$ - $$$,Italian
The Standard Grill,4 of 5 bubbles,"1,460 reviews",$$ - $$$,American
Monte's Trattoria,4.5 of 5 bubbles,367 reviews,$$ - $$$,Italian
230 Fifth,4 of 5 bubbles,"2,730 reviews",$$ - $$$,American
Pearl Oyster Bar,4.5 of 5 bubbles,451 reviews,$$ - $$$,American
Zucker's Bagels & Smoked Fish,4.5 of 5 bubbles,326 reviews,$,American
Red Lobster,4 of 5 bubbles,"2,837 reviews",$$ - $$$,Seafood
The Spotted Pig,4 of 5 bubbles,"1,945 reviews",$$ - $$$,American
Blue Fin,4 of 5 bubbles,"1,682 reviews",$$ - $$$,Japanese
Le Pain Quotidien,4 of 5 bubbles,922 reviews,$$ - $$$,French
Bar Americain,4 of 5 bubbles,"1,589 reviews",$$$$,American
Koi,4 of 5 bubbles,669 reviews,$$$$,Japanese
Brendan's Bar & Grill,4 of 5 bubbles,722 reviews,$$ - $$$,American
Tacombi,4.5 of 5 bubbles,376 reviews,$$ - $$$,Mexican
Osteria Laguna Restaurant,4 of 5 bubbles,511 reviews,$$ - $$$,Italian
Amarone Ristorante,4 of 5 bubbles,825 reviews,$$ - $$$,Italian
Via Brasil Restaurant,4.5 of 5 bubbles,333 reviews,$$ - $$$,Latin
Uncle Jack's Steakhouse - Midtown,4 of 5 bubbles,"1,070 reviews",$$$$,Seafood
Grand Central Oyster Bar,4 of 5 bubbles,"3,726 reviews",$$ - $$$,American
BLT Steak,4 of 5 bubbles,514 reviews,$$$$,American
Redeye Grill,4 of 5 bubbles,791 reviews,$$$$,American
Bull & Bear Steakhouse,4 of 5 bubbles,775 reviews,$$$$,American
Schnippers,4 of 5 bubbles,617 reviews,$,American
Brooklyn Diner,4 of 5 bubbles,"1,510 reviews",$$ - $$$,American
Playwright Celtic Pub,4 of 5 bubbles,664 reviews,$$ - $$$,American
Benoit New York,4 of 5 bubbles,669 reviews,$$$$,French
Le Rivage,4 of 5 bubbles,570 reviews,$$ - $$$,French
Palma,4.5 of 5 bubbles,331 reviews,$$ - $$$,Italian
Orso,4.5 of 5 bubbles,338 reviews,$$ - $$$,Italian
HB Burger,4 of 5 bubbles,549 reviews,$$ - $$$,American
Chipotle Mexican Grill,4 of 5 bubbles,730 reviews,$,Mexican
Aurora SoHo,4.5 of 5 bubbles,298 reviews,$$ - $$$,Italian
J.G. Melon,4 of 5 bubbles,600 reviews,$$ - $$$,American
Cosmic Diner,4 of 5 bubbles,763 reviews,$,American
Pio Pio 8,4 of 5 bubbles,368 reviews,$$ - $$$,Peruvian
The Odeon,4 of 5 bubbles,369 reviews,$$ - $$$,American
Brasserie 8 1/2,4 of 5 bubbles,307 reviews,$$ - $$$,French
Cafe Cranberry,4 of 5 bubbles,598 reviews,$,American
Mercato,4 of 5 bubbles,779 reviews,$$ - $$$,Italian
Sardi's Restaurant,4 of 5 bubbles,"1,570 reviews",$$ - $$$,Italian
Rue 57,4 of 5 bubbles,"1,971 reviews",$$ - $$$,French
Tocqueville,4.5 of 5 bubbles,222 reviews,$$$$,French
Sushi Yasuda,4.5 of 5 bubbles,574 reviews,$$$$,Japanese
Norma's,4 of 5 bubbles,"1,273 reviews",$$$$,American
The Heartland Brewery and Rotisserie at the Empire State Building,4 of 5 bubbles,"2,107 reviews",$$ - $$$,American
Langan's Bar & Restaurant,4 of 5 bubbles,547 reviews,$$ - $$$,American
Scarlatto,4 of 5 bubbles,655 reviews,$$ - $$$,Italian
Cafe Viand,4 of 5 bubbles,646 reviews,$$ - $$$,American
Ballato's,4.5 of 5 bubbles,214 reviews,$$ - $$$,Italian
Sarabeth's Central Park South,4 of 5 bubbles,"2,504 reviews",$$ - $$$,American
Serafina,4 of 5 bubbles,"1,290 reviews",$$ - $$$,Italian
Pylos,4.5 of 5 bubbles,339 reviews,$$ - $$$,Mediterranean
Delicatessen,4 of 5 bubbles,463 reviews,$$ - $$$,American
Jane,4 of 5 bubbles,384 reviews,$$ - $$$,American
Pellegrino's,4 of 5 bubbles,645 reviews,$$ - $$$,Italian
George's Restaurant,4 of 5 bubbles,521 reviews,$$ - $$$,American
The NoMad Bar,4.5 of 5 bubbles,215 reviews,$$ - $$$,American
Market Table,4.5 of 5 bubbles,394 reviews,$$ - $$$,American
New Wonjo Restaurant,4 of 5 bubbles,321 reviews,$$ - $$$,Barbecue
Sant Ambroeus,4.5 of 5 bubbles,295 reviews,$$$$,Italian
Zabar Deli & Gourmet Foods,4.5 of 5 bubbles,432 reviews,$,American
Gray's Papaya,4 of 5 bubbles,"1,179 reviews",$,American
Corner Bistro,4 of 5 bubbles,912 reviews,$,American
Tomoe Sushi,4.5 of 5 bubbles,307 reviews,$$ - $$$,Japanese
Emporium Brazil,4.5 of 5 bubbles,290 reviews,$$ - $$$,Latin
Lattanzi Ristorante,4 of 5 bubbles,578 reviews,$$$$,Italian
Dallas BBQ Times Square,4 of 5 bubbles,"2,711 reviews",$$ - $$$,American
Hard Rock Cafe,4 of 5 bubbles,"7,376 reviews",$$ - $$$,American
San Matteo Pizza Espresso Bar,4.5 of 5 bubbles,217 reviews,$$ - $$$,Italian
La Lanterna di Vittorio,4.5 of 5 bubbles,280 reviews,$$ - $$$,Italian
Becco,4 of 5 bubbles,"3,247 reviews",$$ - $$$,Italian
Mermaid Oyster Bar,4.5 of 5 bubbles,190 reviews,$$ - $$$,American
Paesano of Mulberry Street,4 of 5 bubbles,518 reviews,$$ - $$$,Italian
Hell's Kitchen,4.5 of 5 bubbles,187 reviews,$$ - $$$,Mexican
Il Piccolo Bufalo,4 of 5 bubbles,261 reviews,$$ - $$$,Italian
Cafe Un Deux Trois,4 of 5 bubbles,"1,209 reviews",$$ - $$$,French
Franchia Vegan Cafe,4.5 of 5 bubbles,280 reviews,$$ - $$$,Asian
Maloney & Porcelli,4 of 5 bubbles,636 reviews,$$$$,American
Hatsuhana Restaurant,4.5 of 5 bubbles,220 reviews,$$ - $$$,Japanese
Morandi,4 of 5 bubbles,421 reviews,$$ - $$$,Italian
The Grand Tier Restaurant,4.5 of 5 bubbles,238 reviews,$$$$,American
Dean & Deluca,4.5 of 5 bubbles,218 reviews,$$ - $$$,Vegetarian Friendly
Metro Diner,4 of 5 bubbles,361 reviews,$,American
